batch_position,run_type,idle_time,pressure_max,pressure_min,pressure_mean,pressure_std,pressure_range,runtime,residual_mean,residual_std,residual_sum,residual_max,seasonal_fft_mean_0,seasonal_fft_sum_0,residual_fft_mean_0,residual_fft_sum_0,seasonal_fft_mean_1,seasonal_fft_sum_1,residual_fft_mean_1,residual_fft_sum_1,seasonal_fft_mean_2,seasonal_fft_sum_2,residual_fft_mean_2,residual_fft_sum_2,seasonal_fft_mean_3,seasonal_fft_sum_3,residual_fft_mean_3,residual_fft_sum_3,seasonal_fft_mean_4,seasonal_fft_sum_4,residual_fft_mean_4,residual_fft_sum_4
0.0,0.0,0.0,0.9199762892708949,0.9934623430962343,0.9577806353273349,0.32506132509469365,0.22277227722772275,1.0,0.18311715377682394,0.12715162987358844,0.18311715377682392,0.08678482516871597,0.0,0.0,0.027832064445658403,0.027832064445658403,0.17427103337816155,0.17427103337816158,0.11645963688609369,0.11645963688609369,0.12353680702785949,0.12353680702785952,0.23939711869566538,0.23939711869566532,0.1632431806779698,0.1632431806779698,0.26981348418928497,0.2698134841892849,0.382214770218897,0.38221477021889694,0.29061389612083766,0.2906138961208376
0.05263157894736842,0.0,0.04038391886997465,0.5411973918197979,0.9333158995815899,0.8511185233785338,0.22145249262087652,0.08778877887788794,1.0,0.008324150342186004,0.003660530103324563,0.008324150342186004,0.003299901050031563,0.0,0.0,0.02845405472186744,0.02845405472186744,0.010824363852137616,0.010824363852137617,0.009711450949123214,0.009711450949123217,0.032273826700017036,0.032273826700017036,0.006592806686969446,0.006592806686969439,0.08191685021878638,0.08191685021878636,0.007526688059412187,0.007526688059412187,0.15327893168599804,0.15327893168599804,0.016075618080139853,0.01607561808013984
0.10526315789473684,0.0,0.019558131111915976,0.47599288678126817,0.9333158995815899,0.8341495419638573,0.17634955831426136,0.05148514851485175,1.0,0.008813511780855952,0.004104222215525467,0.008813511780855952,0.0031078952336543054,0.0,0.0,0.023814587091408268,0.023814587091408268,0.016942482744646103,0.016942482744646103,0.010274933271668868,0.010274933271668871,0.010274056886388737,0.01027405688638874,0.007992564849988865,0.007992564849988872,0.021888752579896784,0.02188875257989678,0.009470376661309218,0.009470376661309218,0.06417198741273072,0.06417198741273072,0.011978408615714906,0.011978408615714892
0.15789473684210525,0.0,0.01937703730532416,0.4653230586840551,0.9333158995815899,0.8308722178420048,0.16802305260808992,0.04554455445544625,1.0,0.0069590246018582935,0.0036479134276530753,0.0069590246018582935,0.0033741548714330185,0.0,0.0,0.019544607906042552,0.019544607906042552,0.028229466835211145,0.02822946683521115,0.008907508678055495,0.008907508678055495,0.00392704174250819,0.003927041742508192,0.0068548643742219265,0.0068548643742219265,0.039731492676146375,0.03973149267614637,0.009454721175939665,0.009454721175939665,0.06680734659754013,0.06680734659754013,0.004245004324642032,0.004245004324642032
0.21052631578947367,1.0,0.019558131111915976,0.48369887374036713,0.9218096234309623,0.8296257823604832,0.17082607694384677,0.07029702970297036,1.0,0.006217588160371018,0.00220709905422984,0.006217588160371018,0.003819819684800411,0.0,0.0,0.010120780561139677,0.010120780561139677,0.010716983871667411,0.010716983871667411,0.00475811549030454,0.004758115490304544,0.07157771315546989,0.0715777131554699,0.011439762745982712,0.011439762745982712,0.048650889215439065,0.048650889215439065,0.00770475878630035,0.00770475878630035,0.08945546594516024,0.08945546594516025,0.01616973634248578,0.016169736342485766
0.2631578947368421,0.0,0.019195943498732347,0.45880260818020213,0.9265167364016736,0.8282701293151881,0.15988620813565513,0.050495049504950984,1.0,0.008948265699137863,0.004058036737389865,0.008948265699137863,0.004777535635944415,0.0,0.0,0.004415427880399439,0.004415427880399439,0.01424926256063551,0.014249262560635516,0.007051042732873998,0.007051042732873998,0.013871339177478056,0.01387133917747806,0.011316691209124742,0.011316691209124742,0.06730125132482404,0.06730125132482404,0.016061409705376756,0.016061409705376756,0.1713741627088879,0.1713741627088879,0.019714446419589207,0.019714446419589193
0.3157894736842105,1.0,0.01937703730532416,0.47599288678126817,0.928347280334728,0.8299032109166543,0.1740944840243337,0.057755775577557955,1.0,0.006134587341334409,0.003005448815235616,0.006134587341334409,0.008138556412791619,0.0,0.0,0.01712317010176733,0.01712317010176733,0.010606725299274837,0.010606725299274838,0.006841423726085545,0.006841423726085542,0.0248496478147642,0.0248496478147642,0.007489571687115462,0.007489571687115462,0.11741878716294502,0.11741878716294502,0.0062308193299007025,0.006230819329900689,0.08890517664308455,0.08890517664308456,0.012017013723541331,0.012017013723541331
0.3684210526315789,0.0,0.01937703730532416,0.45465323058684026,0.9265167364016736,0.8263879200591181,0.1623740012760415,0.048184818481848524,1.0,0.010840925875888495,0.004064189230175614,0.010840925875888495,0.009103100458060044,0.0,0.0,0.017284315322925632,0.017284315322925632,0.01241581005622162,0.01241581005622162,0.008908475177775106,0.008908475177775106,0.04453042343204301,0.04453042343204302,0.012054001048652861,0.012054001048652861,0.12711922756179495,0.12711922756179495,0.021043928933296333,0.02104392893329632,0.016878986427896907,0.016878986427896904,0.01900056802034958,0.019000568020349565
0.42105263157894735,1.0,0.01937703730532416,0.47599288678126817,0.9218096234309623,0.8287823357730567,0.17351184159050614,0.06600660066006636,1.0,0.007446355393590731,0.002938701865423627,0.007446355393590724,0.0050749512316179135,0.0,0.0,0.018189768035178848,0.018189768035178848,0.002562276858864683,0.002562276858864683,0.00657489807505271,0.00657489807505271,0.02023626213995552,0.020236262139955524,0.011830193421792659,0.011830193421792666,0.07218838078139897,0.07218838078139896,0.007106338675323537,0.007106338675323523,0.2832412634493979,0.2832412634493978,0.016628481698134204,0.01662848169813419
0.47368421052631576,1.0,0.01937703730532416,0.4653230586840551,0.9333158995815899,0.8286336563887874,0.17143258156850005,0.04554455445544625,1.0,0.009361018523115397,0.004232613008352249,0.00936101852311539,0.006262251471355732,0.0,0.0,0.025765713734446603,0.025765713734446603,0.025938014880783157,0.025938014880783164,0.008867877920400613,0.008867877920400613,0.0026941544804429734,0.0026941544804429734,0.013464279383230054,0.013464279383230061,0.10600209318882459,0.10600209318882457,0.010431067937397911,0.010431067937397911,0.11643880168488785,0.11643880168488785,0.013409852624141627,0.013409852624141613
