area,pressure_max,pressure_min,pressure_mean,pressure_std,pressure_range,runtime,residual_noise,residual_std,residual_fft_max_1,residual_fft_max_2,residual_fft_max_3,residual_fft_max_4
217.83242500000227,71.46,36.34,54.666362499999934,13.200469930786307,35.11999999999999,239.7000000000036,30.490269489547934,0.3760829357147793,36.29106609534053,16.180883013418537,14.93709660750952,11.04233013737003
216.94535000000224,71.28,35.98,54.44394999999996,13.193470407648634,35.300000000000004,239.7000000000036,31.066579390886712,0.38698862030234704,39.99804667073362,18.973841059869493,12.221382935145797,13.829903421784113
216.96152500000227,71.51,36.11,54.44919999999993,13.262941127819275,35.400000000000006,239.7000000000036,30.08660965500093,0.3557152173786153,29.76048679018865,16.98051042213169,16.499989192494873,10.741616575261498
216.50402500000226,71.02,35.98,54.33281249999995,13.179152845112753,35.04,239.7000000000036,30.258711897726318,0.37005816016665966,35.017350176901694,14.153458988082896,13.114319834156406,10.418809848641066
216.40300000000224,71.33,35.92,54.30847499999994,13.25155502853817,35.41,239.7000000000036,31.029151119241824,0.34954178104130246,31.486801940448224,16.084315821469243,11.083244115106528,11.713558830693962
216.17302500000224,71.02,36.05,54.26306249999996,13.213393716078155,34.97,239.7000000000036,29.408411111689563,0.35208456842302305,33.197738761054765,14.63458091825219,10.741695223282669,12.98760493218863
216.17752500000228,71.02,35.98,54.253549999999926,13.193809643067462,35.04,239.7000000000036,29.722607240025006,0.36367930649870545,32.69119520677203,11.558208166913516,12.237383817977504,10.420455912940854
215.80235000000226,71.02,36.05,54.15882499999991,13.120997051267667,34.97,239.7000000000036,28.093120439081876,0.3450838136243189,33.41694625757726,15.320384140772198,10.551517801454285,8.48648364887244
215.97627500000226,70.97,35.98,54.20862500000002,13.176123096699401,34.99,239.7000000000036,29.61118477723723,0.3737323447429222,39.685979959806346,13.821877048858225,14.24785719305489,10.923712931392462
215.80527500000227,70.84,35.92,54.15922499999995,13.07795410793963,34.92,239.7000000000036,29.317559959400388,0.36112185445727035,36.91849614309941,12.640604925411346,14.26669114383644,10.203155477859823
216.25042500000225,71.15,35.98,54.27174999999989,13.209174091800746,35.17000000000001,239.7000000000036,28.62112396979334,0.34386127598056015,29.953405406685256,14.347027418671244,11.567285523814235,9.15137647241824
215.88827500000224,70.84,36.16,54.18174999999994,13.144572803537582,34.68000000000001,239.7000000000036,28.769239697963403,0.35633240790445986,34.84005350168524,17.74353776896428,13.62933046556624,11.334222756708053
215.96647500000225,71.15,35.9,54.21209999999997,13.204234797594294,35.25000000000001,239.7000000000036,30.36357497506688,0.3610071973650586,33.284062868897195,15.869457691100266,13.545521567343696,11.012946699305592
215.52695000000227,70.86,35.87,54.087812499999934,13.082243799893188,34.99,239.7000000000036,27.973274092598764,0.36363365962830196,37.37560344668482,14.728795761803237,12.588989978567442,10.583218550137913
215.77742500000224,70.91,35.98,54.15185000000006,13.170447489645133,34.93,239.7000000000036,27.27633302001564,0.3540676369090721,33.78674643259534,16.452975730974423,12.17502837966079,10.41538260835044
215.44122500000225,70.78,35.98,54.066512499999945,13.150879417831465,34.800000000000004,239.7000000000036,28.480546722481733,0.3685780875341187,33.19734165079136,14.677236106829367,13.239157392100312,9.657616894548946
215.70285000000226,70.91,36.11,54.13531249999995,13.135875157458822,34.8,239.7000000000036,28.542521921999988,0.34510387508406254,29.538149601417434,15.56215062231323,14.593987475388102,9.08819575393188
215.30692500000225,70.64,35.98,54.0354374999999,13.114627046111291,34.660000000000004,239.7000000000036,27.744297890521768,0.32434644265868556,26.422008732038453,15.715488614254689,12.844915656703021,9.807393277072531
215.51115000000223,70.84,35.98,54.08624999999987,13.161661423904668,34.86000000000001,239.7000000000036,26.96658565500226,0.34383791043615586,33.112734274446936,13.303253293190414,13.14739405133634,9.316838758065474
215.12915000000228,70.47,35.92,53.98849999999994,13.057493385026094,34.55,239.7000000000036,27.025378713200343,0.3485557917573714,37.90939463872485,12.3156858120476,11.564050372448126,10.641792469061174
